Feature,Train Mean,Pred Mean,Train Std,Pred Std,Mean Diff %,Std Diff %
URLCharProb,0.05574580523863419,74.32312742730454,0.010594417925038202,0,133225.03456832664,99.99990561076001
DegitRatioInURL,0.028609830573167367,0.1176470588235294,0.0708990844709007,0,311.2118993555958,99.99998589544751
NoOfOtherSpecialCharsInURL,2.338705231239,9.0,3.3913439364136426,0,284.8283165958946,99.99999970513164
NoOfDegitsInURL,1.866875887953519,6.0,11.089075648338964,0,221.39254765553713,99.99999990982114
SpacialCharRatioInURL,0.06334793464662102,0.1764705882352941,0.03240573133177249,0,178.57351839860692,99.99996914127068
LargestLineLength,12569.57157700545,0.0,152806.9145823576,0,99.99999999992045,99.99999999999345
LineOfCode,1135.9917831166904,0.0,3117.8361357267618,0,99.99999999911972,99.99999999967926
NoOfSelfRef,65.27767764371593,0.0,186.2334392127625,0,99.99999998468083,99.9999999946304
URLTitleMatchScore,52.13861706571808,0.0,49.59993982806942,0,99.99999998082035,99.99999997983868
DomainTitleMatchScore,50.17078192277804,0.0,49.67693804086172,0,99.99999998006808,99.99999997986994
NoOfExternalRef,49.23539515256897,0.0,163.31898806527096,0,99.9999999796894,99.99999999387701
NoOfImage,25.981021650162216,0.0,79.00291304843219,0,99.99999996151037,99.99999998734225
NoOfJS,10.51303568777964,0.0,23.48803082742679,0,99.99999990487999,99.99999995742512
NoOfCSS,6.363414194533387,0.0,83.49737222818908,0,99.99999984285166,99.99999998802357
NoOfEmptyRef,2.393350155855722,0.0,18.4630792101191,0,99.99999958217565,99.99999994583784
NoOfSubDomain,1.1660870671557921,0.0,0.6022923500140182,0,99.99999914243112,99.99999833967675
IsResponsive,0.6243718060179393,0.0,0.4842859663227478,0,99.99999839839022,99.99999793510437
HasCopyrightInfo,0.4862009372548188,0.0,0.4998108744002158,0,99.99999794323725,99.99999799924325
HasSocialNet,0.45589389087978965,0.0,0.498052172102777,0,99.99999780650718,99.99999799217825
HasDescription,0.4401545834305223,0.0,0.4964069222323025,0,99.99999772807097,99.9999979855237
HasSubmitButton,0.4138393519794737,0.0,0.4925217037744186,0,99.99999758360346,99.99999796963267
CharContinuationRate,0.8451217982636824,0.0588235294117647,0.21677361119294872,0,93.03963773782873,99.99999538689258
NoOfLettersInURL,19.375092771263173,36.0,26.632971566623173,0,85.80556189549743,99.99999996245256
URLLength,34.503133018087745,51.0,38.182388440405376,0,47.812663761527844,99.99999997380992
LetterRatioInURL,0.5157420481774423,0.7058823529411765,0.123402909263933,0,36.86732577825095,99.999991896464
IsHTTPS,0.7820882546279607,1.0,0.41282819679833244,0,27.862807208301465,99.9999975776849
DomainLength,21.477130558323967,17.0,9.153464721399697,0,20.846036876672734,99.99999989075175
URLSimilarityIndex,78.44271773575016,82.75862068965517,28.951318308293004,0,5.501980397841118,99.99999996545925
